Feature Indices,"[2, 4, 31, 56]",,
Label Index,54,,
Iterations/Feature set,2,,
Number of combinations,99,,
Rounding Base,30,,
Alpha Values,"[0.001, 0.01, 0.05, 0.1, 0.5, 1, 5, 10, 50, 100, 500]",,
Hidden Layer Comps,"[(20, 10, 5), (20, 10), (50, 25), (100, 50), (500, 100), (20,), (50,), (100,), (500,)]",,
Time to Run (Sec),18885.23078,,
CSV Input File Name,On_Time_On_Time_Performance_2015_7.csv,,
Valid Data,197912,,
Alpha Value,Hidden Layer Comp,Accuracy (%),Time/Loop (seconds)
0.001,"(500,)",78.29641457,126.938956
1,"(500, 100)",77.51020656,105.514634
0.1,"(500,)",77.34851853,101.4925168
0.001,"(20, 10, 5)",77.32224423,82.30806315
0.001,"(20, 10)",77.20603096,27.09827387
0.01,"(500,)",77.16763006,140.628718
0.05,"(500, 100)",77.1443874,233.5280913
10,"(20, 10, 5)",77.05040624,102.6326989
0.1,"(100, 50)",77.02514249,67.4479264
0.5,"(500,)",76.97865718,126.0157936
0.01,"(50, 25)",76.90387647,58.09792686
0.1,"(50, 25)",76.78261045,34.24829268
5,"(20, 10)",76.74218845,66.20028174
0.1,"(20, 10)",76.7330935,25.36291838
0.05,"(50, 25)",76.72804075,56.22740126
5,"(20, 10, 5)",76.66437609,57.72613645
0.05,"(20, 10, 5)",76.61485913,35.35116446
0.1,"(20, 10, 5)",76.49763531,31.24382424
0.05,"(500,)",76.47641376,155.87857
10,"(20,)",76.45418166,95.06440353
10,"(20, 10)",76.34807389,74.36557221
1,"(20, 10)",76.34302114,39.96686018
0.5,"(50, 25)",76.32887344,36.39693213
5,"(50,)",76.32483124,90.0963887
0.5,"(100, 50)",76.29754638,52.09386432
10,"(100, 50)",76.18840697,167.0438397
1,"(500,)",76.07320425,164.9467429
0.01,"(100, 50)",75.93981163,79.77557659
50,"(50,)",75.92667448,90.080073
0.001,"(50, 25)",75.84583047,48.24773335
10,"(500, 100)",75.81349287,234.1830498
5,"(500, 100)",75.78721856,313.5491813
10,"(50, 25)",75.73264885,94.41374254
10,"(50,)",75.6932374,85.48657918
0.001,"(100, 50)",75.62249889,81.36448109
0.01,"(500, 100)",75.58510853,188.9587101
0.05,"(20, 10)",75.57399248,32.77910376
0.1,"(500, 100)",75.46081087,187.3184942
10,"(500,)",75.3627875,204.2726108
1,"(20, 10, 5)",75.16471967,25.2620362
5,"(500,)",75.15158252,246.6815242
50,"(20,)",75.13541372,88.97738922
50,"(500,)",75.09802336,269.5437499
50,"(20, 10, 5)",75.04648531,102.0694517
50,"(100, 50)",74.9959578,182.6852086
50,"(50, 25)",74.9696835,111.5765449
100,"(20, 10)",74.9676624,89.9098146
100,"(50, 25)",74.86256518,98.21067941
50,"(20, 10)",74.74534136,79.29250526
10,"(100,)",74.68875056,145.7423844
1,"(50, 25)",74.67864505,36.89642406
500,"(20,)",74.57759004,61.31315708
100,"(20, 10, 5)",74.56344234,93.38904369
0.5,"(20, 10)",74.37548001,26.27378607
100,"(100,)",74.3108048,135.9147019
50,"(500, 100)",74.3067626,320.1956353
0.01,"(20, 10)",74.29362545,49.04280901
100,"(100, 50)",74.28351995,130.6171303
0.05,"(20,)",74.23097134,24.60365629
100,"(500, 100)",73.88031044,373.3886907
100,"(500,)",73.84190954,226.4783102
100,"(50,)",73.79340313,73.60108209
500,"(100,)",73.78936093,103.3832372
0.001,"(500, 100)",73.76005497,175.1140041
100,"(20,)",73.69841142,69.56390572
50,"(100,)",73.53571284,123.6070957
5,"(100, 50)",73.52459679,145.8952637
0.01,"(20, 10, 5)",73.51145964,46.57269192
0.5,"(500, 100)",73.45587938,140.0968574
5,"(50, 25)",73.2042524,88.60320044
0.05,"(100, 50)",73.14968269,109.0507525
1,"(100, 50)",72.94150936,92.18601096
500,"(500,)",72.45038199,176.6575419
0.5,"(20, 10, 5)",72.39783338,23.14853036
500,"(50,)",72.28970452,69.53199553
5,"(20,)",71.59545657,60.09095895
0.05,"(50,)",71.58737217,43.92804909
0.05,"(100,)",71.06895994,52.06783593
0.5,"(20,)",70.4191762,20.51240802
0.001,"(20,)",70.28275193,25.34701049
0.001,"(50,)",70.05942035,27.96077406
0.001,"(100,)",69.75322366,33.96708369
0.1,"(20,)",68.51934193,21.59131205
0.01,"(20,)",68.14847003,26.65299833
0.1,"(100,)",68.06964712,42.62349212
0.1,"(50,)",67.83317838,20.04115236
5,"(100,)",67.62500505,81.51410758
0.5,"(50,)",67.54416104,17.04687512
500,"(20, 10)",67.50576014,47.33799696
0.01,"(100,)",67.13387768,34.67725682
500,"(50, 25)",66.68216177,49.46096909
500,"(500, 100)",65.98286107,220.2421319
1,"(20,)",65.73931849,20.93261945
0.5,"(100,)",65.57156716,31.45216513
0.01,"(50,)",65.51901855,29.15195143
1,"(100,)",63.32309309,25.90035415
500,"(100, 50)",62.13973887,90.36034048
1,"(50,)",61.08775617,20.82634687
500,"(20, 10, 5)",57.30223534,42.38372314
