Feature Indices,"[2, 4, 31, 56]"
Label Index,54
Iterations/Feature set,2
Number of combinations,42
Rounding Base,20
Alpha Values,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1]"
Hidden Layer Comps,"[(500,), (500, 100), (1000,), (1000, 100), (1000, 200), (1000, 500)]"
Time to Run (Sec),59894.93339467049
CSV Input File Name,On_Time_On_Time_Performance_2015_7.csv
Valid Data,296522
Alpha Value,Hidden Layer Comp,Accuracy (%),Time/Loop (seconds)
1,"(1000, 200)",69.7609636994,689.660729765892
0.1,"(1000, 200)",69.6753045285,625.4959588050842
0.005,"(1000, 200)",69.6584424869,808.3696563243866
0.001,"(500, 100)",69.6577680053,277.66464388370514
1,"(1000, 500)",69.6044839541,2100.4160882234573
0.01,"(1000, 100)",69.4014649742,738.4853007793427
0.005,"(500, 100)",69.377858116,552.1839776039124
0.005,"(1000,)",69.300292725,291.07506692409515
0.1,"(1000,)",69.2874775735,265.91078066825867
0.01,"(1000,)",69.2631962337,343.05822014808655
0.5,"(500, 100)",69.2085632192,225.71060490608215
0.01,"(1000, 200)",69.1876542877,1099.7317823171616
0.05,"(1000,)",69.1620239846,393.8861142396927
0.01,"(500, 100)",69.1316723098,351.49503672122955
0.05,"(500, 100)",69.0723179237,351.7912446260452
0.001,"(1000, 500)",68.9880077161,2650.874915599823
0.001,"(1000, 100)",68.9637263763,705.581227183342
0.005,"(500,)",68.9630518946,214.51298999786377
0.1,"(500,)",68.9556325963,183.33797013759613
0.005,"(1000, 500)",68.9198850683,1413.0017545223236
0.1,"(500, 100)",68.9171871417,404.1068732738495
0.5,"(500,)",68.884812022,272.20181715488434
0.05,"(1000, 100)",68.8200617825,1053.175233721733
0.1,"(1000, 100)",68.7930825161,460.4654771089554
0.005,"(1000, 100)",68.7924080344,492.6315724849701
0.01,"(500,)",68.7809418462,204.95830190181732
0.5,"(1000,)",68.7553115431,535.4099298715591
0.001,"(500,)",68.7067488635,157.84229445457458
0.05,"(1000, 200)",68.6871888953,1033.681358575821
1,"(1000,)",68.6851654504,692.2606078386307
0.5,"(1000, 500)",68.5866911279,1043.7042409181595
0.001,"(1000,)",68.53070915,289.6501371860504
0.05,"(500,)",68.528685705,262.01593124866486
0.5,"(1000, 200)",68.461237539,734.8603358268738
1,"(1000, 100)",68.4504458324,489.1546902656555
0.001,"(1000, 200)",68.417396231,940.4727882146835
0.01,"(1000, 500)",68.3533204732,1694.1080540418625
0.5,"(1000, 100)",68.268335784,419.7522211074829
0.05,"(1000, 500)",68.0869002172,1892.94793009758
1,"(500,)",68.0174286061,544.523882985115
0.1,"(1000, 500)",67.1298107404,1787.941395998001
1,"(500, 100)",65.7214930326,250.94590890407562
